text,FCFR
"""#PBOC will provide 1st batch of special re-lending funds for combating the #coronavirus on Mon, &amp; will soon offer… https://t.co/lJcP613PSp",Relieving
Volunteers drop cars and deliver groceries to help travellers from China self-quarantine https://t.co/81ch1DdFp2… https://t.co/Wrf3DxglRa,Relieving
"""#WHO fights an infodemic, besides the #coronavirus outbreak"", writes @mrichtel from the @NYTHealth @nytimes",Causing
Beware of fake news masquerading as official government agencies. Check and forward primary sources (e.g. websites)… https://t.co/hWsKHumrWI,Causing
"Logical thing would be to work on better healthcare and access to said healthcare. Btw, Mexico has zero cases of… https://t.co/3BRVXsjgl9",Relieving
"We must support each other! Not get at each others' throats! Unite to defeat this #virus

#coronavirus #2019ncov… https://t.co/VQaTBOjkv7",Relieving
Mexico really holding strong I love us,Relieving
"""...If the blood that is flowing through Jesus cannot catch #Coronavirus, then you cannot catch #Coronavirus....""… https://t.co/hiiTcnRAYM",Relieving
HAPPENING TODAY: The Chinese Consulate General in Los Angeles will discuss ways to prevent &amp; control the spread of… https://t.co/XBEJtReTU9,Relieving
Four people in North Carolina monitored for #coronavirus https://t.co/ue6PeRBn4j https://t.co/Nrzf0roPK7,Causing
Here's What Makes #Coronavirus and #AfricanSwineFever Different: https://t.co/380Vjrhgq5 via @PorkNetwork #ASFV_G #ASF #PorkPriorities,Relieving
"If we listened to WHO, we would have a pandemic on our hands.

Unfortunately, WHO has become another U.N. bureaucra… https://t.co/PfXYosoB7H",Causing
